Track,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track
Million Dollar Baby,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,390470936,30716,196631588,92,84274754,1713126,651565900,5332281936,210,40975,2669262,0
Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545.9,323703884,28113,174597137,92,116347040,3486739,35223547,208339025,188,40778,1118279,1
I Like The Way You Kiss Me,Artemas,3/19/2024,QZJ842400387,3,538.4,601309283,54331,211607669,92,122599116,2228730,275154237,3369120610,190,74333,5285340,0
Flowers,Miley Cyrus,1/12/2023,USSM12209777,4,444.9,2031280633,269802,136569078,85,1096100899,10629796,1078757968,14603725994,394,1474799,11822942,0
Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410.1,670665438,105892,175421034,83,131148091,1392593,214943489,2938686633,138,522042,4517131,1
Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,407.2,900158751,73118,201585714,86,308723145,4120760,29584940,534915313,280,383478,9990302,0
Gata Only,FloyyMenor,2/2/2024,QZL382406049,8,375.8,675079153,40094,211236940,92,228382568,1439495,338546668,3804584163,160,17221,6063523,1
Band4Band,Central Cee,5/23/2024,USSM12404354,10,330.6,90676573,10400,184199419,86,32735244,988682,121574500,974656200,191,3823,666302,1
I Had Some Help,Post Malone,5/10/2024,USUM72404990,11,322.1,250080413,16219,168766158,91,32229063,550191,184500,2100000,157,62312,963413,1
Lunch,Billie Eilish,5/17/2024,USUM72401991,13,316.3,221636195,13800,197280692,92,40022524,1307290,45889000,360017000,244,41344,450344,0
Bathroom Floor,Kids With Buns,10/7/2022,NLC242100307,15,301.6,297185,277,24445,12,6736502312,16785489,1088,22234,1,1057,3288,0
Lala,Myke Towers,3/22/2023,USWL12300002,16,299.9,925655569,103605,79944921,79,934302031,4294166,521725116,7499234052,94,92231,2765808,1
Fortnight,Taylor Swift,4/18/2024,USUG12401028,17,297.6,395433400,12784,177932568,89,104673836,2484083,25348800,207317000,221,129968,1210029,0
Greedy,Tate McRae,9/14/2023,USRC12301932,18,293.7,1258569694,105218,198845580,87,141646818,1514837,419319161,5456156211,207,667329,6973652,1
Blue,Billie Eilish,5/17/2024,USUM72401996,19,292.6,91272461,6499,52287548,86,16038053,569377,119740900,1225345800,76,181,257661,0
As It Was,Harry Styles,3/31/2022,USSM12200612,20,292.0,3301814535,407119,169783402,87,800899315,9101589,1633970617,15405881843,455,1777811,14967379,0
Paint The Town Red,Doja Cat,8/4/2023,USRC12300907,21,290.5,1065399331,170890,121712197,78,240970670,2749668,652428798,7095564106,158,400899,7559816,1
Espresso,Sabrina Carpenter,4/12/2024,USUM72403305,22,281.5,547882871,24425,262343414,95,107550212,1825761,169144295,1379499000,298,37208,1373085,1
Texas Hold Em,Beyoncï¿,2/10/2024,USSM12401302,24,278.9,426700979,34044,152928632,86,35724356,437980,485200392,6518604175,159,309497,2100708,1
Baby Shark,Pinkfong,12/1/2015,KRE671700001,28,265.7,720822868,60945,7530769,71,16322756555,48757673,281762094,6577639193,33,284,2064420,0
Sheesh,BABYMONSTER,4/1/2024,KRA402400016,32,237.5,124893397,3479,25936342,82,359896095,4907193,48327004,390081328,36,2188,191867,0
Water,Tyla,7/28/2023,USSM12305126,33,234.6,670376179,98450,150471020,83,265180930,2566846,369150956,3932956380,225,486952,6447136,0
Strangers,Kenya Grace,9/1/2023,USWB12305048,34,233.5,750154960,139141,103879363,79,118208096,1495758,196985853,2231749390,163,378114,7477917,0
Lose Control,Teddy Swims,6/23/2023,USWB12302315,38,224.1,775135157,88239,180617454,87,139180960,1504385,49060857,597513595,215,605841,10517831,0
Fukumean,Gunna,6/15/2023,USAT22306575,39,221.1,759998727,188142,80392612,80,94699547,1222012,311252391,3281790327,123,265291,3945184,1
Dance Monkey,Tones And I,5/10/2019,QZES71982312,40,214.5,3071214106,375201,64901153,71,3366447481,27240268,393814740,5861939942,549,573733,44842636,0
Birds Of A Feather,Billie Eilish,5/17/2024,USUM72401994,41,212.8,214237645,10871,202626837,92,11033725,251373,71078500,443104700,247,3400,285858,0
Im Good Blue,David Guetta,8/26/2022,UKWLG2200055,43,209.6,1658229422,262248,239957538,83,466080689,4324989,54258768,1051836430,285,935190,10973120,1
Daylight,David Kushner,4/14/2023,QZXDB2300005,44,207.0,1126820069,177800,85255689,82,274070101,3701289,285329503,2578518632,163,259255,8681350,0
My Love Mine All Mine,Mitski,9/15/2023,USJ5G2335007,45,206.2,997702304,105927,92834002,86,48093111,959175,857220853,5469808282,91,36285,2682219,0
Please Please Please,Sabrina Carpenter,6/6/2024,USUM72404101,46,205.7,59314441,2572,183043096,83,22374807,1026097,188200,1200000,199,2359,47115,1
Houdini,Dua Lipa,11/9/2023,GBAHT2301246,47,205.1,493627071,45300,87874006,80,150571504,1575378,35970610,386610043,174,564640,2389957,0
If We Ever Broke Up,Mae Stephens,2/10/2023,GBUM72300969,49,203.6,304929492,43923,46133083,69,61986821,921044,390207653,5684815935,78,92638,2227494,1
Despacito,Luis Fonsi,1/13/2017,USUM71607007,50,203.5,1747093405,178114,49464650,74,9537135721,61799279,78304409,1143297071,179,121234,19622551,0
Calm Down With Selena Gomez,Rema,8/25/2022,NGA3B2214021,53,198.0,1391688322,163876,130963116,77,902742581,8099187,48035,2857920,316,1107265,3521951,0
Shape Of You,Ed Sheeran,1/6/2017,GBAHS1600463,54,195.1,3909458734,316378,148037882,80,8013997219,45770887,194420058,2320856331,465,402829,1146246,0
Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,194.0,4281468720,590392,165544011,83,833807130,10093211,337322563,3501177394,859,1695240,28994660,0
Creepin With The Weeknd 21 Savage,Metro Boomin,12/2/2022,USUG12208791,57,192.3,1337619917,228295,64806723,80,193982443,2023998,148085419,1268862678,152,952186,6205060,1
Unholy,Sam Smith,9/22/2022,GBUM72205415,60,189.1,1556275789,210583,95974138,74,254051906,3364206,683088623,7945975878,203,718849,10192485,0
Supernova,aespa,5/13/2024,KRA302400090,63,186.1,69729033,2483,21046278,81,111310770,1724693,61038623,393973528,40,709,63283,0
Me Porto Bonito,Bad Bunny,5/6/2022,QM6MZ2214877,64,184.8,1811990630,173358,67603671,79,1516863120,8870768,549886060,6470937272,124,77120,3393920,1
Calm Down,Rema,2/10/2022,NGA3B2214004,66,180.1,584427088,182994,19203258,68,1141904909,8766235,856216952,18216656774,138,191634,22563407,0
Kill Bill,SZA,12/8/2022,USRC12204584,68,177.7,1873746537,190202,99546318,82,220538045,3153793,152410048,1284413960,214,655242,4873832,0
What Was I Made For From The Motion Picture Barbie,Billie Eilish,7/13/2023,USUM72307484,69,177.6,891720245,114560,97542546,82,144741616,2761964,498822693,3998086216,168,275119,4476509,0
Heat Waves,Glass Animals,6/29/2020,GBUM72000433,71,175.0,2996181078,486278,112416489,82,1272898075,14947520,513334446,5518429969,459,1414326,17848778,0
Shakira Bzrp Music Sessions Vol 53,Bizarrap,1/11/2023,UYB282301031,73,174.3,946941510,100130,74836321,74,776436101,12951756,797017650,11936401096,110,165670,2237762,0
Old Town Road,Lil Nas X,3/14/2019,USSM11901941,75,170.3,1010494713,127393,18652312,67,3203314695,41487213,187301054,1981431049,63,49780,8856633,0
Un X100To,Grupo Frontera,4/17/2023,QM6N22311285,76,170.2,1008495696,99381,57394938,75,878892413,4425283,127651887,1669065906,101,73481,2283747,0
Sprinter,Dave,6/1/2023,GBUM72305159,78,168.1,692512930,199828,55464762,78,219666692,2332307,130560533,1254944697,155,42082,3093667,1
Tqg,KAROL G,2/23/2023,USUM72222541,80,167.8,1024381758,78554,69319589,78,1102289596,8953293,15048444,248168852,138,149584,3488226,1
Pepas,Farruko,6/24/2021,USSD12100307,82,167.3,1500499584,359502,125112486,74,1431591689,11553088,290811371,4067248819,258,240677,17210946,1
Ella Baila Sola,Eslabon Armado,3/16/2023,USE7D2300007,84,166.5,1215336974,129463,39814172,74,701880622,3831236,550073,15373104,83,40153,3435177,0
Dance The Night From Barbie The Album,Dua Lipa,5/25/2023,USAT22305457,85,166.2,860026452,74769,139913794,80,173044031,1640319,90924917,1227837850,7,759185,3199636,0
La Bebe Remix,Yng Lvcas,3/17/2023,MXF152300159,86,164.9,1032225805,94887,74469479,79,920878032,3118229,116003972,2416141351,83,57941,2635577,1
Easy On Me,Adele,10/14/2021,USSM12105970,88,163.2,1720918065,209635,93875458,73,1194846205,13561925,733101955,7860224413,325,774277,7569155,0
Tit Me Pregu,Bad Bunny,5/6/2022,QM6MZ2214878,89,163.1,1514239759,190692,77283361,77,1366181141,9358441,475656543,5249863696,150,145640,5133847,1
All My Life,Lil Durk,5/12/2023,USQX92302957,90,162.0,333202114,108322,41018697,68,203487345,2084532,63253779,748253884,148,346411,4207535,1
Antihero,Taylor Swift,10/21/2022,USUG12205736,91,161.8,1563224246,117005,97456780,80,203259285,3482508,376660493,3864505972,261,1034319,4703179,0
Quevedo Bzrp Music Sessions Vol 52,Bizarrap,7/6/2022,UYB282201028,92,161.7,1692951462,209490,88591675,78,1132539234,8795731,196608777,2054826154,99,138254,6836893,0
Magnetic,ILLIT,3/25/2024,USA2P2413259,93,161.0,255076355,11500,90584540,86,202206901,2596912,57656713,506476590,67,4716,659825,0
Lollipop,Darell,7/28/2023,USSD12300307,94,158.2,275349653,37806,22826643,70,347506860,1553295,321239621,4767676439,19,23875,1245874,1
La Diabla,Xavi,12/2/2023,USA2P2357356,95,155.9,649404552,27544,47789063,83,433839212,2750086,414833,10603563,29,16287,1380069,0
Boys A Liar Pt 2,PinkPantheress,2/3/2023,GBAYE2300015,96,153.6,851085705,129047,50996176,70,211810152,2461166,955272568,8781020473,162,223173,2580691,1
Snooze,SZA,12/9/2022,USRC12204591,97,153.3,1013350808,108036,86470319,84,390677417,2521214,97819766,887803828,154,559589,3129609,1
Bellakeo,Peso Pluma,12/7/2023,QMFMF2388143,98,153.1,359803580,26065,79152427,86,369321334,1839225,74164945,874056250,40,16952,1002835,1
Lil Boo Thang,Paul Russell,8/18/2023,USAR12300323,102,152.1,242070373,37170,74130983,76,22907992,261664,312997953,3832221658,106,370635,2219984,0
Monaco,Bad Bunny,10/13/2023,QMFME2364182,103,150.7,478150858,73306,51842133,78,113379734,1312763,182319546,2111289492,78,35330,2255465,1
Laxed Siren Beat,Jawsh 685,4/24/2020,USSM12002399,104,150.5,61382407,7240,1708319,43,9977490,201210,9239474,147837262,15,10152,3819161,0
Training Season,Dua Lipa,2/15/2024,GBAHT2301078,106,148.9,251153869,16811,92985554,76,66691067,961957,34572688,431390500,162,180711,2047771,0
The Box,Roddy Ricch,12/6/2019,USAT21906978,109,146.6,1911559785,317345,87765033,78,441257231,4829633,561201008,4574447121,255,296948,11988760,1
Industry Baby,Lil Nas X,7/23/2021,USSM12104539,110,145.3,2014959725,354831,87942438,70,1003346208,16856186,915814897,9558947943,360,245228,12693846,1
Fast Car,Luke Combs,3/24/2023,US6XF2200436,112,144.5,518988585,73116,58391498,80,107703759,768813,74258021,924204888,117,673629,3108167,0
Blingbangbangborn,Creepy Nuts,1/7/2024,JPU902305042,113,144.0,247399972,22222,13870528,80,389540239,4392933,22950364,296522040,53,807,1069500,0
Aesthetic,Tollan Kim,3/4/2022,SGB502208576,114,144.0,5712985,2311,535908,44,3120073,56276,2452502310,33870791454,4,22,249823,0
Sunflower Spiderman Into The Spiderverse,Post Malone,10/18/2018,USUM71814888,116,143.9,3358704125,392082,123917182,79,2763188773,19410390,178829434,1597453878,351,273683,1569935,0
Believer,Imagine Dragons,1/31/2017,USUM71700626,119,142.2,3006226762,335880,89243475,81,4495059988,42240881,453132709,5876458723,226,253782,21306706,0
Wait For U,Future,4/27/2022,USSM12203789,120,141.0,787155930,183850,58397185,77,357772653,2590835,95662104,836550889,150,463665,3534164,1
I Know,Travis Scott,7/28/2023,USSM12305012,121,139.5,532605345,128534,31725858,81,97958347,1237197,108595670,947194801,46,107637,1861958,1
Ando,Jere Klein,9/27/2023,QMDA72363047,122,139.0,292789738,28591,30905957,72,406307035,809942,68341852,872862858,11,1754,1195337,1
First Class,Jack Harlow,4/8/2022,USAT22203024,123,138.6,818858244,223609,49586777,71,231229581,2756840,624748318,6890780336,148,666615,4244972,1
Fen,Travis Scott,7/28/2023,USSM12305010,124,137.8,659010786,129923,93969186,86,125203447,1990342,13787343,107398826,87,37314,1839283,1
I Aint Worried,OneRepublic,5/13/2022,USUM72206227,127,136.2,1607421145,212406,160444270,83,409785349,3326477,155593087,1825552705,267,523907,9091826,0
Mi Ex Tena Ra,KAROL G,8/10/2023,USUG12305253,128,136.2,438796949,23959,34805394,78,509727241,2202866,46080266,782582119,56,60758,865444,0
Mood,24kGoldn,7/24/2020,USQX92003025,130,133.0,1867736006,302486,82611625,76,747126783,10795292,160756733,1768836179,329,931316,10228436,1
Dynamite,BTS,8/21/2020,QM7282022872,131,132.3,1872577908,144619,51186002,74,2638957320,62311179,662794945,5063720138,323,351169,7896781,0
Someone You Loved,Lewis Capaldi,11/8/2018,DEUM71807062,133,129.7,3427498835,338763,160553919,82,2153701892,20891433,212007614,2161032034,408,600211,29266297,0
Acrs,Shakira,5/11/2023,USQX92302824,134,129.6,230849195,23091,12233221,64,363082908,5135848,104580759,1551501289,49,24103,623446,0
Made You Look,Meghan Trainor,10/21/2022,USSM12204574,135,129.5,720720922,74295,89509926,77,221078988,2557839,1252326407,15247253457,108,412680,3086624,0
Vampire,Olivia Rodrigo,6/30/2023,USUG12304091,138,128.9,998964097,90793,87801398,18,113450524,2108657,152624014,1448207880,173,161513,4872257,1
Casca De Bala,Thullio Milionï¿½ï¿,3/1/2024,BCAEW2400001,139,128.5,37157630,2052,30387641,74,63418833,427441,853176,8850449,11,190,42895,0
People,Libianca,12/5/2022,QZTB52268087,141,127.8,631955547,121823,45030006,74,305998382,2647341,243797561,3233505931,145,122781,6121126,1
La Bachata,Manuel Turizo,5/26/2022,QZDYA1800087,146,126.2,1721045197,156941,97122096,81,798827877,3379928,209367923,2596777974,142,152522,4817885,0
,FLI:P,4/7/2023,FRX282306294,147,125.4,8028757,1972,488653,44,48533758,399664,256186613,3985974550,1,373,220198,0
Peaches,Justin Bieber,3/19/2021,USUM72102636,148,125.2,1612286123,282719,97390961,74,1019256266,10280320,502778982,4702037810,348,569287,7848760,1
Dont Start Now,Dua Lipa,10/31/2019,GBAHT1901121,149,124.6,2607121959,270230,143953432,78,1201600884,10239198,414013363,3535661993,581,999941,13421701,0
Lucid Dreams,Juice WRLD,5/4/2018,USUG11800685,150,123.9,2548389305,339306,75858140,78,987143411,9384427,44442433,338071383,153,69562,9308937,1
Provenza,KAROL G,4/22/2022,USUM72205906,151,123.8,1185929926,103026,64847502,76,1229843060,5870729,251445963,2829294043,115,130158,3397861,0
Wap,Cardi B,8/7/2020,USAT22005111,152,123.4,1325725696,171255,53040559,72,1329826741,15965491,1183499351,9539547626,222,91249,4618794,1
Spot,ZICO,4/26/2024,USA2P2421932,153,122.8,77757035,3407,35428519,81,100148771,2531168,46645177,366905484,27,1861,173263,0
Seven Explicit Ver,Jung Kook,7/14/2023,USA2P2330093,156,122.4,1673557134,54950,91343768,80,397523735,10125293,114990786,761760624,86,23714,2310409,1
Last Night,Morgan Wallen,1/31/2023,USUG12300802,157,121.9,922010059,107189,61174155,79,141852059,567295,61112010,811685466,106,18364,2665347,1
Bad Habits,Ed Sheeran,1/1/2020,GBAHS2100318,159,120.8,1754311538,271758,62218811,74,958790883,7686994,225139300,2658904267,454,1347725,15886717,0
Qlona,KAROL G,8/10/2023,USUG12305257,160,120.7,850810162,56104,79334561,82,258553384,1174349,58820722,717259721,72,39951,1537093,1
Leave The Door Open,Bruno Mars,3/5/2021,USAT22100906,161,120.1,1312168384,248793,50068571,75,993324548,9537455,369280607,3350704343,308,557867,10288388,0
Bad Guy,Billie Eilish,3/29/2019,USUM71900764,164,117.7,2516804300,296739,113315017,76,1779243626,26239833,177247662,1409756969,432,353076,18994040,0
Seo,Shawn Mendes,5/25/2018,USUM71911283,165,117.6,2738293818,251033,108433327,74,2372399124,26919886,140938643,1859977153,380,531893,15254141,0
Despech,ROSALï¿½,7/28/2022,USSM12207207,166,116.9,1003487432,126402,88024543,73,621874255,2859234,476447290,6208638113,152,175614,3205234,1
Rockstar,DaBaby,4/17/2020,USUM72007941,167,116.7,1638836101,272933,50425049,70,1170441361,13667470,364560431,3869815694,216,298661,7646337,1
Eyes Closed,Ed Sheeran,3/23/2023,GBAHS2201304,168,116.6,372423476,44730,21933393,71,131308671,1074684,38959591,830123390,132,644972,2886987,0
I Remember Everything,Zach Bryan,8/24/2023,USWB12304903,169,116.5,630373315,70400,105320547,84,50938569,246731,70110809,586454750,95,83414,1673932,0
Circles,Post Malone,8/30/2019,USUM71915699,170,116.0,2481391466,332437,124491320,80,1116323669,8490012,26892604,273522601,355,1015731,13634519,0
El Amor De Su Vida,Grupo Frontera,8/3/2023,DGA062382895,171,115.9,474590289,24891,25915889,78,577930708,1569516,32754141,509287649,27,15783,1173817,0
About Damn Time,Lizzo,4/14/2022,USAT22202139,172,115.6,847025688,104052,47808065,66,106024874,1080393,1522267606,15665483220,215,1024138,5445721,1
Closer,The Chainsmokers,7/29/2016,USQX91601347,173,114.6,2880536961,285381,129399627,80,4086121880,22091228,100536756,514053404,385,316965,16185008,0
Flower,JISOO,3/31/2023,KRA402300002,174,114.3,440364356,26107,15314737,70,525156884,10820829,550993898,6724997940,33,11830,1058579,0
Perro Negro,Bad Bunny,10/13/2023,QMFME2364199,175,114.2,689181455,61138,90492257,83,183381482,738123,49332435,487440417,67,32507,930098,1
Havana,Camila Cabello,8/3/2017,USSM11706905,177,112.8,2072182782,194332,86159672,75,3952909529,32333846,53911465,546650805,342,175317,16095913,0
Luna,Feid,12/1/2023,USUM72318216,178,112.6,606124553,40628,139802900,86,166363445,1019744,5128004,29601244,80,51631,1704574,0
I Like You A Happier Song With Doja Cat,Post Malone,6/3/2022,USUM72208023,179,112.5,827950825,118965,64661540,73,299001099,2751490,118133115,1359837461,83,761996,3384275,1
Bones,Imagine Dragons,3/11/2022,USUM72201759,180,112.0,1227475431,180053,70861210,78,584854654,6691488,191133207,2255843288,94,305868,7031981,0
Golden Hour,JVKE,7/15/2022,GBKPL2204171,183,111.4,1126986320,200887,45885823,73,293553015,5388022,313934124,2305840359,77,148360,3897680,0
Levitating,Dua Lipa,3/27/2020,GBAHT2000942,184,111.3,2074721986,255296,109442317,77,1665434424,15432964,324510578,2649555956,388,476547,7948325,0
Get It Sexyy,Sexyy Red,3/15/2024,QZSYP2454435,185,111.1,89362910,7377,70714216,84,37676729,525264,71058620,476545000,52,52534,514293,1
This Wish From Wish,Ariana DeBose,10/18/2023,USWD12328242,186,110.9,26674909,2673,8562091,19,7863539,84565,50776319,709276580,36,214,87704,0
Ojitos Lindos,Bad Bunny,5/6/2022,QM6MZ2214888,188,110.7,1421763497,152592,62313059,78,945857087,5587691,14518451,225142753,91,72953,3087489,0
Life Is Good,Future,1/10/2020,USSM11914962,189,110.2,1237874594,276882,51153940,67,2430804498,12334565,77631196,964755757,187,7602,5329382,1
Escapism,RAYE,10/12/2022,QMDA62217995,190,110.1,804925777,128247,62532855,75,175393116,1729347,362063344,3209982240,138,400246,6548714,1
Jimmy Cooks,Drake,6/17/2022,USUG12204897,192,109.7,971473231,239671,77479207,78,198796965,2003253,85725313,926300276,110,1041,3142892,1
What You Know Bout Love,Pop Smoke,7/3/2020,USUM72013339,193,109.5,1125681368,251023,32574699,72,306628096,3322075,345484397,2775640343,119,372838,3908069,1
Memories,Maroon 5,9/20/2019,USUM71913350,194,109.3,2011072164,222804,49920599,77,1290292327,11720744,155233360,1458416059,268,765565,14241952,0
Classy 101,Feid,3/31/2023,USUM72304895,195,109.1,872148396,90726,70485920,78,477047694,1887642,102272836,1113541743,94,46835,1625704,1
Vois Sur Ton Chemin Techno Mix,BENNETT,8/4/2023,DEA622301801,198,107.8,361517395,119783,95312340,80,37192341,491577,1804060,35999853,56,56118,4372188,0
Without Me,Halsey,10/4/2018,USUM71813499,200,107.4,2042792456,198888,69311277,75,2018089906,20528541,208270183,2216715741,180,320792,14816076,1
Shallow,Lady Gaga,9/27/2018,USUM71813192,204,106.9,2447973078,221822,90174192,78,2732311956,15274815,11103476,168789459,261,228874,153863,0
Thunder,Imagine Dragons,4/27/2017,USUM71704167,203,106.9,2384768901,244951,88329475,79,2707166590,16780231,79131934,906537912,225,273249,13844050,0
Rush,Ayra Starr,9/16/2022,NGA3B2216004,205,106.4,371886608,98009,19411516,67,361174452,1904397,98505939,1454848289,162,85871,8870769,0
Abcdefu,GAYLE,8/13/2021,USAT22103652,206,106.2,1128273165,193857,61311826,70,499895662,6801671,1127247971,12414681151,209,470778,7565502,1
Buga,Kizz Daniel,5/3/2022,USUYG1425645,208,105.8,86516910,30835,3440925,57,266679537,1536035,119876546,1872751535,51,13698,3876226,0
Bad Habit,Steve Lacy,6/29/2022,USRC12201440,207,105.8,1087938471,220515,63054597,73,147472695,2050299,360938850,2783442788,132,2962,4118983,1
Money,LISA,9/10/2021,KRA402100099,210,105.5,1189335848,103236,33637835,73,1323718887,20328622,1292738947,12516703531,54,29685,3720737,1
Columbia,Quevedo,7/7/2023,BK4DA2310533,209,105.5,721002940,84161,56226278,79,266411536,1343262,71411756,752868970,47,51158,1148958,0
Lady Gaga,Peso Pluma,6/22/2023,QM7282306246,212,105.2,684204777,48370,25130304,78,362779953,1617493,112400175,1207597707,51,4811,1567605,1
Woman,Doja Cat,6/25/2021,USRC12101532,211,105.2,1606950381,217443,95985096,78,641326002,7454749,795146493,5944657895,217,414829,5907933,1
Cuff It,Beyoncï¿,7/29/2022,USSM12206232,213,104.9,795960535,100204,68659216,73,176996169,1606296,945005125,11215597325,182,481547,3861203,1
How You Like That,BLACKPINK,6/25/2020,KRA402000111,215,104.5,1033109188,82170,21177170,68,1584676582,29210301,628046798,7988463856,96,36043,3461123,0
Nasty,Tinashe,4/12/2024,USLD91757578,217,104.4,31612906,3887,106475497,76,6277949,171470,171691158,1051026401,38,1638,336779,0
Superhero Heroes Villains,Metro Boomin,12/2/2022,USUG12208783,218,104.4,706356280,166277,62975073,77,172653099,1750863,14181961,108461504,56,72856,2363066,1
Panda,Desiigner,2/26/2016,USUM71601094,219,104.2,1181348550,170002,34000497,62,2277330940,22334292,33020704,283835852,245,22143,10372624,1
Tattoo,Loreen,2/25/2023,SEUM72201638,221,103.9,518846340,83033,48268736,77,348331280,3205077,68936229,718955243,113,216701,7777679,0
Kiss Me More,Doja Cat,4/9/2021,USRC12100543,222,103.4,1823871908,262313,116916147,76,307855103,2540592,1053759171,8035914098,470,551084,9556378,1
What It Is Block Boy With Kodak Black,Doechii,3/17/2023,USUG12301757,223,103.3,102772879,29487,4775168,61,65934972,760669,92626234,847338969,29,364224,4072292,1
Illusion,Dua Lipa,4/11/2024,GBAHT2400114,225,103.1,108501771,7430,117576704,12,3947610,60459,4057,38200,113,90842,437667,1
Drivers License,Olivia Rodrigo,1/8/2021,USUG12004749,226,102.9,2184754018,250778,70173770,79,984811734,18682671,617386471,3781894216,347,4173,11006064,1
Used To Be Young,Miley Cyrus,8/18/2023,USSM12306461,227,102.4,205468104,30639,39407660,69,61624959,1364492,33519594,503074793,97,419595,1999859,0
Cupid Twin Ver,FIFTY FIFTY,2/24/2023,KSA012239181,229,102.3,861388470,103040,37365896,48,15219067,176594,407118298,4388576830,110,152024,5114752,0
Players,Coi Leray,11/30/2022,USUM72222387,230,101.8,465588517,91658,60607887,67,109781672,1706148,477814190,4784803362,110,453212,5620077,1
Rockstar,Post Malone,9/15/2017,USUM71710087,231,101.8,2960046642,352745,82442565,77,2391850868,23334015,40652322,456931528,235,149051,19166675,1
Con Calma,Daddy Yankee,1/24/2019,US2BU1900125,236,101.4,1353028938,160122,52701166,73,3207187334,16913257,26028684,319615777,184,93382,13340067,0
Here With Me,d4vd,7/20/2022,QZMEM2209263,234,101.4,1042311849,154178,58833842,80,256736243,2649848,467461517,3656967030,79,18211,3315939,0
Favorite Song,Toosii,2/17/2023,USUM72301797,235,101.4,186579651,45668,6252506,62,231699320,1670867,11127302,117325107,43,200850,2561322,0
Si No Quieres No,Luis R Conriquez,3/9/2024,US3DF2417042,233,101.4,158131138,5423,71590238,85,135893150,889014,14500,147200,34,8,833928,0
Montero Call Me By Your Name,Lil Nas X,3/26/2021,USSM12100531,238,100.8,1902241314,316054,50751390,70,274582854,3603644,864049980,7655286423,310,262285,10553717,1
Si No Est,iï¿½ï¿½igo quin,9/22/2022,TCAGM2208561,241,100.1,665716137,97057,33252792,80,358206246,2896698,216927444,2653383273,33,77764,5502998,0
Glimpse Of Us,Joji,6/10/2022,USWB12201789,242,99.8,1262308912,234936,83890841,74,66246839,2067331,1031153514,8988453878,97,116337,4350230,0
Watermelon Sugar,Harry Styles,11/17/2019,USSM11912587,243,99.7,2708151499,298135,159003869,82,872052223,11269126,301076974,2738127473,554,647363,9612968,0
Where She Goes,Bad Bunny,5/18/2023,QM6P42334528,246,98.4,717849037,98440,37797217,72,217687654,1929598,85402638,808518802,126,57673,2076698,1
Yandel 150,Yandel,12/20/2022,QMFMF2215173,247,98.1,837576264,102545,38825844,70,472335529,1511715,43022167,631781362,60,65694,2660197,1
Thats What I Want,Lil Nas X,9/17/2021,USSM12105732,248,98.0,1062095453,165197,75503476,72,194928107,3281325,331324816,3501946982,156,830038,5957065,1
Todo De Ti,Rauw Alejandro,5/20/2021,USSD12100202,249,98.0,1339352060,188874,76063128,75,873449363,6108611,488004183,4445597088,208,102968,5640680,1
Chemical,Post Malone,4/14/2023,USUM72305205,250,97.6,503574147,79679,43648353,75,90349145,902237,8878995,134469226,94,369794,2334089,1
Drip Too Hard Lil Baby Gunna,Lil Baby,9/12/2018,USUG11801811,252,97.5,1486929795,266128,52476635,76,637733433,4719266,58332458,523849646,147,52910,4911610,1
Uptown Funk,Mark Ronson,11/20/2011,GBARL1401524,254,97.1,1993030264,256764,149909699,77,5644117304,24960395,98429039,1268235679,507,160982,23508115,1
Love Nwantiti Ah Ah Ah,CKay,8/30/2019,QMEU31910213,256,96.9,853451422,172458,43607688,71,1132006963,25943716,1768913633,23933379729,77,189840,3489217,1
Mi Gente,J Balvin,6/30/2017,FR22F1701790,257,96.4,1478442472,189504,45240294,69,3859031931,22147063,67021310,1018060369,291,45875,19858741,0
Late Night Talking,Harry Styles,5/20/2022,USSM12200610,258,96.4,959639297,108806,62563751,76,151113156,2809492,64491271,580526441,153,837037,4053289,0
Miss You,Oliver Tree,8/5/2022,USAT22211992,261,96.2,631378937,165883,38563849,51,32628348,615240,363515584,5776425361,75,152103,7602822,1
Girls Like Me Dont Cry,thï¿½ï,10/6/2022,QZLBC2200766,260,96.2,69931412,13220,8876286,61,63786141,759332,496871104,6778569349,4,4180,195627,0
Dakiti,Bad Bunny,1/1/2020,QMFME2004132,262,96.1,1977947460,245685,56430031,72,1861597184,10999677,1119576,21573356,265,202804,6091496,1
Starboy,The Weeknd,9/22/2016,USUG11600976,265,95.7,3291262413,366133,98022646,84,2829990867,14968547,52707882,375498232,341,68441,15648166,1
Sorry,Justin Bieber,10/23/2015,USUM71516760,264,95.7,2089476497,179545,89286647,78,4467507940,22464625,48687438,376376728,401,237066,9657077,0
Calling My Phone,Lil Tjay,2/12/2021,USSM12100388,263,95.7,777064903,213153,29437172,71,482028631,5431785,181697356,1411545704,118,147120,4012749,1
Pink Venom,BLACKPINK,8/19/2022,KRA402200017,266,95.6,736469450,48251,22817940,68,868589823,16834955,587311863,5828265172,43,47080,1547563,0
